Month,Value
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,3
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,5
2017-10,2
2017-11,4
2017-12,3
2018-01,3
2018-02,5
2018-03,4
2018-04,3
2018-05,3
2018-06,2
2018-07,3
2018-08,2
2018-09,0
2018-10,2
2018-11,2
2018-12,16
2019-01,10
2019-02,17
2019-03,11
2019-04,7
2019-05,10
2019-06,8
2019-07,8
2019-08,7
2019-09,8
2019-10,7
2019-11,7
2019-12,6
2020-01,8
2020-02,6
2020-03,6
2020-04,7
2020-05,11
2020-06,10
2020-07,5
2020-08,9
2020-09,8
2020-10,8
2020-11,10
2020-12,9
2021-01,10
2021-02,7
2021-03,11
2021-04,10
2021-05,10
2021-06,9
2021-07,4
2021-08,7
2021-09,10
2021-10,8
2021-11,7
2021-12,8
2022-01,12
2022-02,12
2022-03,13
2022-04,15
2022-05,14
2022-06,17
2022-07,19
2022-08,12
2022-09,18
2022-10,16
2022-11,17
2022-12,29
2023-01,25
2023-02,31
2023-03,29
2023-04,33
2023-05,33
2023-06,33
2023-07,36
2023-08,32
2023-09,28
2023-10,39
2023-11,43
2023-12,45
2024-01,45
2024-02,45
2024-03,43
2024-04,45
2024-05,47
2024-06,44
2024-07,41
2024-08,39
2024-09,50
2024-10,54
2024-11,59
2024-12,57
2025-01,55
2025-02,90
2025-03,66
2025-04,65
2025-05,68
2025-06,100
2025-07,94
2025-08,82
2025-09,93
2025-10,81
